,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
7793,GICSIV,-1.75,62.064,2.82,132.491,60.417,87.011,61.72,149.383,2.052,2.506,2.884,111.734,142.872,145.936,138.493,119.913,102.593,100.498,1.5131108377082,1.3860734442337,1.660755132956,1.8766801507877,2.4998039697186,1.4382058659939
7794,HOPFEY,-4.33,19.944,2.82,173.786,60.414,48.209,54.824,159.29,1.83,2.422,2.619,10.768,116.832,170.888,162.501,161.317,111.28,105.088,0.19808335297587,1.8192479174851,0.72826913088519,2.3099151657582,0.83894933391603,2.4809927478979
7795,KAJJOX,-4.47,78.82,2.82,162.548,61.346,64.931,108.898,130.196,1.857,2.335,2.42,61.795,32.275,93.347,164.295,154.932,109.56,109.472,0.5569267605257,1.771519569017,0.63204820393965,2.2478300798541,1.0253384916312,2.1920494925023
7796,MINJAV,-5.06,82.815,2.82,174.742,81.1,65.631,120.901,127.676,1.83,2.26,2.442,126.609,169.347,135.345,150.949,156.094,100.933,107.139,0.16770240481447,1.822299619552,1.0974287506309,1.975664479938,0.9895895476709,2.2325045413482
7797,NAXHEC,-4.23,39.919,2.82,171.663,66.353,41.839,138.627,68.702,1.834,2.369,2.657,153.26,111.396,46.29,159.093,164.077,106.834,106.25,0.26592115779028,1.8146189511408,0.84538269896609,2.2130271332021,0.72893536728258,2.5550542519337
7798,OCIDAI,-3.98,85.016,2.82,157.061,94.156,65.8,85.975,45.86,1.878,2.378,2.432,80.11,70.666,19.341,134.193,151.503,107.4,107.075,0.73195217322724,1.7294883683066,1.7050159579086,1.6576503199641,1.1603381954731,2.1373439760895
7799,POHXOA,-1.6,54.227,2.82,129.387,124.348,69.478,55.837,55.064,2.084,2.288,2.912,21.933,3.088,11.963,109.447,124.995,109.444,109.392,1.6106768546108,1.3224129725699,2.1574692963303,0.76175470815213,2.3855165010956,1.6700464134271
7800,SIFPAZ,-4.42,70.011,2.82,162.955,40.244,67.557,106.845,124.609,1.855,2.537,2.583,144.327,95.821,111.87,176.29,146.443,106.296,100.206,0.54374259824133,1.7735188149151,0.16416033062972,2.5316833107337,1.4277953350256,2.1525077192148
7801,SITSUL,-3.62,53.574,2.82,163.577,88.8,42.286,43.632,95.947,1.853,2.275,2.697,23.42,9.118,48.875,142.225,158.672,107.8,108.024,0.52389225526198,1.7773986342058,1.3935790622283,1.798210887888,0.98091642323415,2.5122921746146
7802,TUZJUU,-4.71,42.687,2.82,166.033,77.495,43.921,142.063,63.362,1.846,2.446,2.531,146.93,159.954,40.163,145.13,172.084,107.049,108.827,0.44555610775559,1.7914228297199,1.3984182276125,2.0068239735166,0.34857221317835,2.5068822094785
7803,UGOKAC,-3.46,68.389,2.82,165.704,68.374,72.169,36.682,106.593,1.847,2.259,2.264,34.082,142.08,131.856,162.643,157.676,104.573,100.206,0.45608222572632,1.7898039008161,0.67391517827843,2.1561352769448,0.85996608510977,2.0943147644184
